Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
34,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
34,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
35,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
35,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
35,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
35,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
36,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
36,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
36,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
36,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
37,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
37,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
37,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
37,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
38,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
38,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
38,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
38,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
39,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
39,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
39,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
39,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
