time,target_id,name,truth,label,FR,AC,ST,FO,Theta,Delta_H1,Delta_V,Delta_C,Delta_H2,window_size,mean_conflict
555,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,162.75,,3,0.234171543343049
555,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,73.01999999999998,,3,0.234171543343049
555,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.24,,3,0.234171543343049
555,7,IFF-FR-Return-1,Ally1,FR,0.9679732624100583,0.028872998466261433,0.0007358735122409399,0.000646969855361104,0.0017708957560782761,11.0,8.327999999999975,0.9300000000000068,,3,0.23801416706415343
555,8,IFF-AC-Return-2,Ally2,AC,0.023260086046108942,0.9738634826932819,0.0006111883836839979,0.0005787824816287489,0.00168646039529639,1.0,3.9120000000000346,4.7900000000000205,,3,0.2349752102498901
555,9,IFF-ST-Return-3,Ally3,FR,0.5233465424662234,0.44374343428802904,0.02636683583508511,0.002441178371901982,0.004102009038760558,10.0,16.152000000000044,2.990000000000009,,3,0.27694849030191776
556,0,T1(BGM-109C),,FO,0.0005820846642017388,0.0005820846642017388,0.02353516099870459,0.973602248431299,0.0016984212415928704,19.0,256.79999999999995,83.82,,3,0.23509048985104494
556,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,210.0,232.32000000000005,92.51999999999998,,3,0.234171543343049
556,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3543.0,134.88,144.47000000000003,,3,0.234171543343049
556,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,122.53999999999999,,3,0.234171543343049
556,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,163.25,,3,0.234171543343049
556,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,73.00999999999999,,3,0.234171543343049
556,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.31,,3,0.234171543343049
556,7,IFF-FR-Return-1,Ally1,FR,0.9679732624100583,0.028872998466261433,0.0007358735122409399,0.000646969855361104,0.0017708957560782761,11.0,8.327999999999975,0.9300000000000068,,3,0.23801416706415343
556,8,IFF-AC-Return-2,Ally2,AC,0.023409486809183217,0.9736757567209023,0.0006256848134882336,0.0005838894025355313,0.001705182253890738,1.0,5.135999999999967,4.759999999999991,,3,0.23615394039294724
556,9,IFF-ST-Return-3,Ally3,AC,0.4578367934345782,0.5069661607887901,0.028318235234424137,0.002534949282623162,0.0043438612595843905,10.0,17.375999999999976,3.019999999999982,,3,0.2838470095092614
557,0,T1(BGM-109C),,FO,0.0006803610252490824,0.0006803610252490824,0.034118695996283234,0.96248158301984,0.0020389989333785105,31.0,256.79999999999995,83.82,,3,0.24792234832338275
557,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,200.0,232.32000000000005,92.52999999999997,,3,0.234171543343049
557,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3543.0,134.88,144.56,,3,0.234171543343049
557,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,119.34,,3,0.234171543343049
557,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,167.45999999999998,,3,0.234171543343049
557,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,73.00999999999999,,3,0.234171543343049
557,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.37,,3,0.234171543343049
557,7,IFF-FR-Return-1,Ally1,FR,0.9679732624100583,0.028872998466261433,0.0007358735122409399,0.000646969855361104,0.0017708957560782761,11.0,8.327999999999975,0.9300000000000068,,3,0.23801416706415343
557,8,IFF-AC-Return-2,Ally2,AC,0.023458005570782734,0.9736215074329018,0.0006350275609572841,0.00058398955678008,0.0017014698785780956,0.0,5.135999999999967,4.730000000000018,,3,0.23635876358408056
557,9,IFF-ST-Return-3,Ally3,AC,0.3917654420274321,0.5720787224447531,0.029300083176087992,0.002522220264822352,0.004333532086904354,11.0,17.375999999999976,3.0400000000000205,,3,0.28383310622137087
558,0,T1(BGM-109C),,FO,0.0010630838109371712,0.0010630838109371712,0.10826764365944559,0.8860835969144103,0.003522591804269816,44.0,256.79999999999995,83.82,,3,0.27720232578581155
