Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
21,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
22,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
22,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
22,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
22,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
23,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
23,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
23,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
23,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
24,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
24,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
24,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
24,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
25,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
25,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
25,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
25,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
26,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
26,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
26,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
26,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
27,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
27,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
27,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
27,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
28,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
28,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
28,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
28,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
29,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
29,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
29,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
29,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
30,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
30,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
30,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
30,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
31,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
31,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
31,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
31,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
32,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
32,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
32,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
32,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
33,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
33,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
33,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
33,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
34,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
34,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
34,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
34,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
35,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
35,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
35,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
35,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
36,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
36,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
36,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
36,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
37,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
37,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
37,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
37,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
38,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
38,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
38,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
38,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
39,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
39,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
39,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
39,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
40,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
40,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
40,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
40,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
41,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
41,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
41,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
41,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
42,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
42,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
42,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
42,F4,RearGuard,Healthy,0.0,1.2,1.05,1.05,0.98,0.98,0.0,0.25
43,F1,Leader,Healthy,0.0,1.6,1.0,1.0,1.0,1.0,0.0,0.33333333333333337
43,F2,LeftWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
43,F3,RightWing,Healthy,0.0,1.0,0.95,0.95,1.12,1.12,0.0,0.20833333333333334
